texture,drainage,moisture,organic_matter,compaction,water_retention,color,texture_code,drainage_code,moisture_code,om_code,compaction_code,retention_code,color_code,ph
sandy-loam,good,dry,moderate,compacted,low,pale/white,1,0,0,1,2,0,0,6.42
clay,poor,moderate,high,moderate,low,brown,5,2,1,2,1,0,2,6.39
clay-loam,poor,wet,low,loose,moderate,dark brown,4,2,2,0,0,1,3,6.25
sandy,poor,wet,low,compacted,moderate,brown,0,2,2,0,2,1,2,6.22
clay,moderate,dry,high,compacted,moderate,black/dark,5,1,0,2,2,1,4,6.58
silty,poor,dry,moderate,moderate,high,pale/white,3,2,0,1,1,2,0,6.93
silty,poor,wet,low,loose,moderate,yellow/tan,3,2,2,0,0,1,1,6.02
sandy,moderate,moderate,moderate,moderate,high,dark brown,0,1,1,1,1,2,3,5.68
clay,poor,dry,high,compacted,high,yellow/tan,5,2,0,2,2,2,1,6.97
loamy,good,dry,high,compacted,moderate,black/dark,2,0,0,2,2,1,4,6.06
sandy-loam,moderate,moderate,low,loose,moderate,red,1,1,1,0,0,1,5,5.52
silty,moderate,dry,high,compacted,low,brown,3,1,0,2,2,0,2,6.47
sandy-loam,good,moderate,moderate,loose,moderate,yellow/tan,1,0,1,1,0,1,1,6.15
clay,moderate,dry,high,loose,low,red,5,1,0,2,0,0,5,6.85
sandy-loam,moderate,dry,moderate,loose,moderate,red,1,1,0,1,0,1,5,6.09
clay-loam,good,wet,moderate,loose,high,dark brown,4,0,2,1,0,2,3,6.85
clay-loam,moderate,wet,low,loose,high,dark brown,4,1,2,0,0,2,3,6.84
sandy,good,moderate,moderate,loose,moderate,dark brown,0,0,1,1,0,1,3,5.76
clay-loam,poor,dry,moderate,loose,high,pale/white,4,2,0,1,0,2,0,6.94
sandy,good,moderate,low,compacted,low,black/dark,0,0,1,0,2,0,4,6.39
clay,poor,wet,low,moderate,low,yellow/tan,5,2,2,0,1,0,1,6.6
clay-loam,good,moderate,high,compacted,high,brown,4,0,1,2,2,2,2,6.98
loamy,good,moderate,high,compacted,moderate,red,2,0,1,2,2,1,5,6.16
clay,good,wet,low,moderate,moderate,brown,5,0,2,0,1,1,2,7.41
sandy-loam,moderate,wet,moderate,moderate,low,yellow/tan,1,1,2,1,1,0,1,6.33
sandy,moderate,moderate,low,moderate,moderate,yellow/tan,0,1,1,0,1,1,1,5.79
silty,poor,dry,high,moderate,high,black/dark,3,2,0,2,1,2,4,5.87
loamy,poor,dry,moderate,moderate,low,red,2,2,0,1,1,0,5,5.6
clay,moderate,dry,low,moderate,moderate,yellow/tan,5,1,0,0,1,1,1,7.14
loamy,good,moderate,low,loose,low,dark brown,2,0,1,0,0,0,3,6.39
loamy,good,moderate,low,moderate,low,brown,2,0,1,0,1,0,2,6.64
silty,poor,moderate,low,compacted,high,yellow/tan,3,2,1,0,2,2,1,6.52
silty,good,moderate,high,loose,moderate,dark brown,3,0,1,2,0,1,3,6.25
sandy-loam,moderate,moderate,low,loose,moderate,red,1,1,1,0,0,1,5,5.58
sandy,poor,dry,high,moderate,moderate,yellow/tan,0,2,0,2,1,1,1,5.64
loamy,poor,wet,high,loose,low,black/dark,2,2,2,2,0,0,4,6.01
clay-loam,poor,wet,moderate,loose,low,yellow/tan,4,2,2,1,0,0,1,6.88
silty,poor,moderate,moderate,loose,low,brown,3,2,1,1,0,0,2,6.04
sandy,poor,wet,low,moderate,high,dark brown,0,2,2,0,1,2,3,5.57
loamy,poor,moderate,moderate,loose,low,yellow/tan,2,2,1,1,0,0,1,6.45
sandy-loam,poor,moderate,moderate,compacted,moderate,yellow/tan,1,2,1,1,2,1,1,6.04
clay,moderate,dry,moderate,compacted,low,red,5,1,0,1,2,0,5,6.52
loamy,good,moderate,low,loose,low,black/dark,2,0,1,0,0,0,4,6.56
loamy,good,wet,low,compacted,low,pale/white,2,0,2,0,2,0,0,6.65
clay,moderate,dry,low,moderate,moderate,pale/white,5,1,0,0,1,1,0,6.86
sandy,poor,dry,low,compacted,low,pale/white,0,2,0,0,2,0,0,6.07
clay,poor,moderate,low,compacted,low,yellow/tan,5,2,1,0,2,0,1,6.49
silty,good,moderate,low,loose,moderate,red,3,0,1,0,0,1,5,6.27
silty,poor,moderate,low,moderate,high,yellow/tan,3,2,1,0,1,2,1,7.09
silty,good,wet,moderate,compacted,moderate,brown,3,0,2,1,2,1,2,6.27
loamy,good,wet,high,moderate,moderate,red,2,0,2,2,1,1,5,6.29
sandy-loam,moderate,dry,low,compacted,moderate,dark brown,1,1,0,0,2,1,3,5.97
clay,poor,dry,high,compacted,low,black/dark,5,2,0,2,2,0,4,6.48
loamy,good,wet,low,loose,moderate,pale/white,2,0,2,0,0,1,0,7.2
loamy,moderate,wet,low,moderate,high,brown,2,1,2,0,1,2,2,6.49
silty,moderate,dry,moderate,compacted,low,dark brown,3,1,0,1,2,0,3,6.25
loamy,moderate,wet,high,moderate,moderate,black/dark,2,1,2,2,1,1,4,5.54
clay,poor,wet,moderate,moderate,low,brown,5,2,2,1,1,0,2,7.16
clay,poor,moderate,moderate,compacted,low,dark brown,5,2,1,1,2,0,3,6.79
silty,good,dry,high,moderate,low,red,3,0,0,2,1,0,5,5.64
clay,good,moderate,high,compacted,low,pale/white,5,0,1,2,2,0,0,6.82
loamy,good,dry,moderate,loose,low,dark brown,2,0,0,1,0,0,3,6.35
sandy,good,dry,high,compacted,high,dark brown,0,0,0,2,2,2,3,5.6
sandy-loam,poor,dry,high,compacted,low,dark brown,1,2,0,2,2,0,3,5.76
sandy-loam,moderate,dry,low,compacted,low,pale/white,1,1,0,0,2,0,0,6.7
loamy,moderate,moderate,moderate,loose,low,red,2,1,1,1,0,0,5,6.4
sandy-loam,moderate,moderate,moderate,loose,moderate,dark brown,1,1,1,1,0,1,3,5.83
clay,good,moderate,moderate,moderate,high,black/dark,5,0,1,1,1,2,4,7.27
silty,moderate,moderate,low,loose,high,black/dark,3,1,1,0,0,2,4,6.47
clay-loam,moderate,moderate,moderate,compacted,moderate,dark brown,4,1,1,1,2,1,3,6.49
clay,moderate,moderate,low,moderate,low,dark brown,5,1,1,0,1,0,3,6.7
silty,good,dry,low,compacted,high,pale/white,3,0,0,0,2,2,0,7.11
sandy,poor,dry,moderate,compacted,high,black/dark,0,2,0,1,2,2,4,5.91
silty,moderate,moderate,low,loose,high,dark brown,3,1,1,0,0,2,3,7.02
sandy-loam,poor,dry,high,moderate,moderate,dark brown,1,2,0,2,1,1,3,5.49
clay-loam,moderate,wet,moderate,moderate,low,dark brown,4,1,2,1,1,0,3,6.46
sandy-loam,good,wet,low,moderate,high,dark brown,1,0,2,0,1,2,3,6.39
sandy-loam,moderate,wet,moderate,moderate,high,dark brown,1,1,2,1,1,2,3,5.47
sandy-loam,poor,wet,high,loose,moderate,dark brown,1,2,2,2,0,1,3,5.59
clay,moderate,wet,high,compacted,low,black/dark,5,1,2,2,2,0,4,5.86
loamy,good,moderate,low,compacted,high,dark brown,2,0,1,0,2,2,3,6.8
clay-loam,good,wet,moderate,compacted,high,yellow/tan,4,0,2,1,2,2,1,6.76
loamy,poor,wet,moderate,loose,moderate,dark brown,2,2,2,1,0,1,3,6.02
sandy-loam,moderate,wet,high,compacted,low,brown,1,1,2,2,2,0,2,5.85
silty,good,moderate,high,moderate,moderate,pale/white,3,0,1,2,1,1,0,6.82
sandy-loam,good,wet,low,moderate,low,yellow/tan,1,0,2,0,1,0,1,6.36
loamy,poor,dry,moderate,compacted,high,dark brown,2,2,0,1,2,2,3,6.36
sandy-loam,good,dry,high,loose,high,black/dark,1,0,0,2,0,2,4,5.55
loamy,poor,moderate,moderate,loose,low,pale/white,2,2,1,1,0,0,0,6.33
sandy-loam,moderate,dry,low,compacted,high,brown,1,1,0,0,2,2,2,6.02
clay,moderate,moderate,low,compacted,moderate,brown,5,1,1,0,2,1,2,7.38
silty,poor,wet,moderate,compacted,high,red,3,2,2,1,2,2,5,6.31
sandy,good,moderate,high,moderate,moderate,dark brown,0,0,1,2,1,1,3,5.98
sandy,poor,dry,low,compacted,moderate,brown,0,2,0,0,2,1,2,5.68
clay,poor,dry,low,compacted,low,red,5,2,0,0,2,0,5,6.5
sandy-loam,moderate,wet,low,compacted,low,red,1,1,2,0,2,0,5,6.08
sandy-loam,moderate,wet,low,loose,high,pale/white,1,1,2,0,0,2,0,6.5
sandy-loam,moderate,moderate,moderate,loose,moderate,dark brown,1,1,1,1,0,1,3,6.32
sandy,moderate,dry,moderate,moderate,high,pale/white,0,1,0,1,1,2,0,6.63
clay-loam,moderate,wet,low,loose,low,brown,4,1,2,0,0,0,2,6.56
sandy-loam,good,moderate,low,moderate,high,black/dark,1,0,1,0,1,2,4,6.39
silty,moderate,dry,low,compacted,low,pale/white,3,1,0,0,2,0,0,6.91
sandy-loam,good,moderate,moderate,loose,moderate,pale/white,1,0,1,1,0,1,0,6.77
loamy,good,dry,high,moderate,high,dark brown,2,0,0,2,1,2,3,6.38
clay,poor,moderate,low,moderate,moderate,pale/white,5,2,1,0,1,1,0,7.19
clay,poor,dry,high,loose,moderate,brown,5,2,0,2,0,1,2,6.78
clay,moderate,moderate,high,compacted,high,dark brown,5,1,1,2,2,2,3,6.47
clay-loam,poor,dry,low,compacted,high,yellow/tan,4,2,0,0,2,2,1,6.61
loamy,moderate,moderate,high,loose,moderate,dark brown,2,1,1,2,0,1,3,6.72
loamy,poor,wet,high,compacted,moderate,yellow/tan,2,2,2,2,2,1,1,6.51
clay,good,moderate,high,compacted,moderate,brown,5,0,1,2,2,1,2,7.53
clay,good,wet,low,moderate,moderate,red,5,0,2,0,1,1,5,7.06
sandy-loam,good,wet,low,moderate,high,yellow/tan,1,0,2,0,1,2,1,6.06
loamy,good,moderate,low,compacted,moderate,yellow/tan,2,0,1,0,2,1,1,6.6
clay,good,wet,low,loose,moderate,pale/white,5,0,2,0,0,1,0,7.43
sandy-loam,good,wet,moderate,compacted,low,dark brown,1,0,2,1,2,0,3,5.67
clay,poor,wet,low,moderate,high,yellow/tan,5,2,2,0,1,2,1,6.77
clay-loam,poor,dry,high,moderate,moderate,yellow/tan,4,2,0,2,1,1,1,6.17
loamy,good,dry,high,loose,high,red,2,0,0,2,0,2,5,6.36
sandy,poor,dry,low,moderate,low,brown,0,2,0,0,1,0,2,6.09
clay,moderate,wet,low,loose,high,black/dark,5,1,2,0,0,2,4,6.47
clay,poor,wet,low,loose,low,pale/white,5,2,2,0,0,0,0,6.86
clay-loam,moderate,moderate,high,compacted,low,brown,4,1,1,2,2,0,2,6.32
sandy-loam,good,dry,low,moderate,high,pale/white,1,0,0,0,1,2,0,6.57
sandy,good,moderate,moderate,compacted,moderate,brown,0,0,1,1,2,1,2,5.78
silty,poor,wet,low,loose,high,black/dark,3,2,2,0,0,2,4,6.19
sandy-loam,moderate,dry,low,moderate,high,brown,1,1,0,0,1,2,2,6.11
sandy,good,wet,high,loose,moderate,red,0,0,2,2,0,1,5,5.99
clay,poor,moderate,low,moderate,moderate,black/dark,5,2,1,0,1,1,4,7.03
clay-loam,good,dry,low,moderate,high,pale/white,4,0,0,0,1,2,0,7.49
clay-loam,moderate,moderate,high,moderate,moderate,brown,4,1,1,2,1,1,2,7.01
silty,poor,wet,low,compacted,high,dark brown,3,2,2,0,2,2,3,6.71
silty,moderate,dry,low,loose,high,black/dark,3,1,0,0,0,2,4,6.44
loamy,good,wet,moderate,compacted,low,brown,2,0,2,1,2,0,2,6.73
silty,poor,wet,low,loose,high,yellow/tan,3,2,2,0,0,2,1,6.28
sandy,good,moderate,moderate,compacted,moderate,pale/white,0,0,1,1,2,1,0,6.52
clay,moderate,moderate,moderate,compacted,moderate,yellow/tan,5,1,1,1,2,1,1,7.07
clay,good,wet,low,moderate,high,brown,5,0,2,0,1,2,2,7.23
sandy-loam,poor,dry,moderate,moderate,moderate,pale/white,1,2,0,1,1,1,0,6.72
sandy,good,moderate,moderate,compacted,high,pale/white,0,0,1,1,2,2,0,6.48
silty,poor,dry,moderate,loose,low,red,3,2,0,1,0,0,5,6.22
silty,moderate,moderate,moderate,loose,low,yellow/tan,3,1,1,1,0,0,1,6.39
loamy,good,dry,high,compacted,high,yellow/tan,2,0,0,2,2,2,1,6.54
clay-loam,moderate,moderate,high,compacted,moderate,red,4,1,1,2,2,1,5,6.17
loamy,good,moderate,moderate,moderate,high,pale/white,2,0,1,1,1,2,0,7.25
loamy,moderate,dry,moderate,moderate,low,pale/white,2,1,0,1,1,0,0,7.04
clay,good,moderate,high,loose,high,pale/white,5,0,1,2,0,2,0,7.32
clay,good,moderate,low,moderate,high,yellow/tan,5,0,1,0,1,2,1,6.88
sandy,good,dry,high,compacted,high,yellow/tan,0,0,0,2,2,2,1,5.85
silty,poor,dry,low,compacted,low,black/dark,3,2,0,0,2,0,4,6.48
silty,moderate,wet,low,compacted,high,black/dark,3,1,2,0,2,2,4,6.32
clay-loam,poor,moderate,high,loose,moderate,pale/white,4,2,1,2,0,1,0,6.78
sandy-loam,good,moderate,moderate,loose,high,dark brown,1,0,1,1,0,2,3,6.21
sandy-loam,moderate,moderate,moderate,compacted,moderate,brown,1,1,1,1,2,1,2,6.13
sandy,moderate,wet,moderate,moderate,moderate,dark brown,0,1,2,1,1,1,3,5.58
sandy-loam,poor,moderate,low,moderate,high,black/dark,1,2,1,0,1,2,4,6.1
sandy-loam,good,wet,high,moderate,high,pale/white,1,0,2,2,1,2,0,6.37
clay,moderate,moderate,high,moderate,high,pale/white,5,1,1,2,1,2,0,6.97
sandy,poor,moderate,low,loose,high,pale/white,0,2,1,0,0,2,0,6.04
sandy-loam,moderate,dry,moderate,loose,high,dark brown,1,1,0,1,0,2,3,5.66
clay-loam,poor,dry,high,moderate,low,yellow/tan,4,2,0,2,1,0,1,6.35
sandy-loam,moderate,moderate,low,compacted,low,black/dark,1,1,1,0,2,0,4,5.89
clay,poor,moderate,moderate,loose,low,dark brown,5,2,1,1,0,0,3,6.88
clay,good,moderate,high,moderate,moderate,black/dark,5,0,1,2,1,1,4,6.39
clay-loam,good,moderate,moderate,compacted,moderate,pale/white,4,0,1,1,2,1,0,7.66
clay,poor,moderate,moderate,compacted,low,black/dark,5,2,1,1,2,0,4,6.81
silty,moderate,dry,high,compacted,low,red,3,1,0,2,2,0,5,6.11
silty,poor,dry,high,loose,low,yellow/tan,3,2,0,2,0,0,1,5.77
sandy,moderate,wet,low,loose,high,pale/white,0,1,2,0,0,2,0,6.36
loamy,poor,wet,low,moderate,moderate,dark brown,2,2,2,0,1,1,3,6.31
clay-loam,moderate,wet,low,compacted,low,pale/white,4,1,2,0,2,0,0,7.34
clay-loam,poor,wet,high,compacted,high,black/dark,4,2,2,2,2,2,4,5.99
silty,good,wet,high,compacted,high,pale/white,3,0,2,2,2,2,0,6.81
sandy-loam,poor,dry,moderate,compacted,high,yellow/tan,1,2,0,1,2,2,1,6.13
clay,good,dry,high,compacted,moderate,red,5,0,0,2,2,1,5,6.85
sandy-loam,poor,dry,low,loose,moderate,yellow/tan,1,2,0,0,0,1,1,5.88
sandy,poor,dry,low,compacted,moderate,black/dark,0,2,0,0,2,1,4,6.03
clay,moderate,moderate,moderate,compacted,high,black/dark,5,1,1,1,2,2,4,6.18
clay-loam,poor,moderate,low,loose,moderate,pale/white,4,2,1,0,0,1,0,7.09
loamy,poor,wet,high,loose,moderate,pale/white,2,2,2,2,0,1,0,6.06
clay,poor,moderate,high,compacted,low,black/dark,5,2,1,2,2,0,4,6.52
silty,moderate,moderate,high,moderate,moderate,dark brown,3,1,1,2,1,1,3,6.2
loamy,poor,moderate,moderate,moderate,moderate,black/dark,2,2,1,1,1,1,4,6.06
loamy,poor,wet,moderate,compacted,low,dark brown,2,2,2,1,2,0,3,6.1
clay-loam,moderate,dry,moderate,moderate,low,brown,4,1,0,1,1,0,2,6.48
sandy-loam,poor,moderate,high,loose,low,brown,1,2,1,2,0,0,2,6.27
loamy,moderate,moderate,moderate,compacted,moderate,black/dark,2,1,1,1,2,1,4,6.91
loamy,moderate,moderate,moderate,loose,low,red,2,1,1,1,0,0,5,6.53
clay,good,dry,low,moderate,high,yellow/tan,5,0,0,0,1,2,1,7.28
sandy,poor,wet,high,compacted,low,black/dark,0,2,2,2,2,0,4,5.13
sandy,moderate,dry,moderate,compacted,high,dark brown,0,1,0,1,2,2,3,6.02
clay,good,moderate,moderate,moderate,low,yellow/tan,5,0,1,1,1,0,1,7.01
silty,moderate,dry,moderate,compacted,moderate,black/dark,3,1,0,1,2,1,4,6.82
silty,moderate,moderate,low,moderate,low,brown,3,1,1,0,1,0,2,6.19
sandy,moderate,moderate,moderate,loose,low,black/dark,0,1,1,1,0,0,4,6.02
sandy-loam,good,moderate,high,compacted,high,brown,1,0,1,2,2,2,2,6.15
loamy,poor,wet,high,loose,low,red,2,2,2,2,0,0,5,5.74
sandy-loam,good,dry,high,moderate,moderate,red,1,0,0,2,1,1,5,6.0
sandy,poor,moderate,low,compacted,moderate,dark brown,0,2,1,0,2,1,3,5.93
silty,good,moderate,moderate,moderate,low,dark brown,3,0,1,1,1,0,3,6.43
sandy-loam,poor,wet,low,loose,moderate,brown,1,2,2,0,0,1,2,5.97
loamy,good,moderate,high,compacted,high,dark brown,2,0,1,2,2,2,3,6.17
clay,moderate,dry,low,loose,low,dark brown,5,1,0,0,0,0,3,6.77
clay,poor,dry,high,moderate,moderate,black/dark,5,2,0,2,1,1,4,6.27
sandy,moderate,wet,moderate,moderate,high,dark brown,0,1,2,1,1,2,3,5.97
clay-loam,good,moderate,moderate,loose,moderate,black/dark,4,0,1,1,0,1,4,6.18
silty,poor,dry,low,loose,high,brown,3,2,0,0,0,2,2,7.18
sandy,poor,dry,low,moderate,moderate,dark brown,0,2,0,0,1,1,3,5.12
clay-loam,good,wet,high,loose,high,black/dark,4,0,2,2,0,2,4,6.48
sandy-loam,poor,moderate,moderate,moderate,high,black/dark,1,2,1,1,1,2,4,6.18
loamy,poor,moderate,moderate,loose,moderate,black/dark,2,2,1,1,0,1,4,6.07
sandy,moderate,wet,moderate,compacted,high,pale/white,0,1,2,1,2,2,0,6.5
clay,moderate,dry,low,moderate,moderate,dark brown,5,1,0,0,1,1,3,7.46
loamy,poor,wet,high,compacted,low,yellow/tan,2,2,2,2,2,0,1,6.07
silty,moderate,wet,high,compacted,moderate,red,3,1,2,2,2,1,5,6.25
sandy,poor,wet,low,compacted,low,dark brown,0,2,2,0,2,0,3,5.67
clay,poor,wet,moderate,compacted,moderate,red,5,2,2,1,2,1,5,6.7
clay-loam,good,wet,high,compacted,high,black/dark,4,0,2,2,2,2,4,6.46
silty,poor,moderate,low,moderate,low,red,3,2,1,0,1,0,5,6.29
silty,moderate,dry,high,loose,high,black/dark,3,1,0,2,0,2,4,6.24
silty,poor,dry,high,compacted,low,brown,3,2,0,2,2,0,2,6.25
loamy,poor,dry,low,moderate,low,pale/white,2,2,0,0,1,0,0,6.25
sandy-loam,poor,dry,low,compacted,low,yellow/tan,1,2,0,0,2,0,1,5.74
clay,good,wet,high,moderate,moderate,pale/white,5,0,2,2,1,1,0,7.83
sandy-loam,good,moderate,low,compacted,high,brown,1,0,1,0,2,2,2,6.27
loamy,good,moderate,moderate,compacted,low,dark brown,2,0,1,1,2,0,3,6.15
clay,good,wet,low,loose,low,brown,5,0,2,0,0,0,2,7.11
sandy-loam,poor,moderate,moderate,loose,high,brown,1,2,1,1,0,2,2,6.39
loamy,moderate,dry,low,loose,moderate,brown,2,1,0,0,0,1,2,6.29
clay,good,dry,low,moderate,low,red,5,0,0,0,1,0,5,6.9
sandy,good,wet,low,loose,low,yellow/tan,0,0,2,0,0,0,1,6.13
sandy,moderate,wet,low,compacted,low,black/dark,0,1,2,0,2,0,4,5.83
sandy,poor,dry,high,compacted,high,black/dark,0,2,0,2,2,2,4,5.21
clay,moderate,dry,low,moderate,moderate,dark brown,5,1,0,0,1,1,3,6.52
sandy,good,moderate,high,moderate,low,dark brown,0,0,1,2,1,0,3,5.72
sandy,poor,moderate,high,moderate,moderate,dark brown,0,2,1,2,1,1,3,5.42
loamy,moderate,moderate,high,moderate,high,brown,2,1,1,2,1,2,2,6.23
loamy,poor,moderate,moderate,compacted,low,pale/white,2,2,1,1,2,0,0,6.13
clay-loam,poor,moderate,low,compacted,low,pale/white,4,2,1,0,2,0,0,6.81
loamy,poor,moderate,low,compacted,moderate,red,2,2,1,0,2,1,5,6.24
clay,good,dry,high,compacted,moderate,brown,5,0,0,2,2,1,2,6.73
silty,good,moderate,high,moderate,moderate,dark brown,3,0,1,2,1,1,3,6.52
silty,moderate,dry,moderate,moderate,moderate,brown,3,1,0,1,1,1,2,6.27
sandy-loam,moderate,dry,low,moderate,moderate,dark brown,1,1,0,0,1,1,3,6.66
sandy,moderate,moderate,moderate,compacted,high,brown,0,1,1,1,2,2,2,6.09
clay-loam,good,moderate,moderate,loose,low,dark brown,4,0,1,1,0,0,3,6.44
loamy,poor,moderate,low,loose,moderate,pale/white,2,2,1,0,0,1,0,6.67
silty,poor,moderate,moderate,loose,moderate,yellow/tan,3,2,1,1,0,1,1,6.3
clay-loam,good,moderate,low,compacted,moderate,red,4,0,1,0,2,1,5,6.43
sandy,poor,moderate,low,moderate,low,brown,0,2,1,0,1,0,2,5.6
clay-loam,good,wet,moderate,loose,low,pale/white,4,0,2,1,0,0,0,6.9
sandy,good,moderate,high,moderate,low,dark brown,0,0,1,2,1,0,3,5.79
silty,poor,moderate,moderate,loose,high,red,3,2,1,1,0,2,5,5.82
sandy-loam,moderate,moderate,high,moderate,high,red,1,1,1,2,1,2,5,5.51
clay,good,wet,low,compacted,high,dark brown,5,0,2,0,2,2,3,6.97
silty,good,moderate,high,compacted,low,pale/white,3,0,1,2,2,0,0,6.92
clay-loam,good,wet,low,compacted,high,pale/white,4,0,2,0,2,2,0,7.33
silty,moderate,wet,low,loose,moderate,black/dark,3,1,2,0,0,1,4,6.1
clay,poor,moderate,low,moderate,low,yellow/tan,5,2,1,0,1,0,1,6.97
loamy,moderate,wet,high,compacted,moderate,yellow/tan,2,1,2,2,2,1,1,6.56
loamy,moderate,wet,high,compacted,low,red,2,1,2,2,2,0,5,6.24
loamy,poor,moderate,moderate,compacted,high,red,2,2,1,1,2,2,5,6.01
clay-loam,poor,dry,high,moderate,moderate,yellow/tan,4,2,0,2,1,1,1,6.49
silty,moderate,dry,moderate,compacted,moderate,brown,3,1,0,1,2,1,2,6.19
sandy,poor,moderate,moderate,moderate,low,yellow/tan,0,2,1,1,1,0,1,5.58
sandy-loam,poor,dry,high,compacted,low,dark brown,1,2,0,2,2,0,3,5.82
sandy-loam,moderate,wet,low,compacted,moderate,dark brown,1,1,2,0,2,1,3,6.02
sandy,good,wet,high,moderate,low,brown,0,0,2,2,1,0,2,6.39
sandy,good,wet,moderate,compacted,moderate,pale/white,0,0,2,1,2,1,0,6.82
sandy,good,dry,moderate,loose,low,pale/white,0,0,0,1,0,0,0,6.33
clay-loam,good,dry,moderate,loose,moderate,black/dark,4,0,0,1,0,1,4,6.4
clay,good,dry,moderate,loose,low,pale/white,5,0,0,1,0,0,0,7.3
clay,poor,wet,moderate,compacted,low,pale/white,5,2,2,1,2,0,0,7.35
clay,good,wet,moderate,moderate,moderate,yellow/tan,5,0,2,1,1,1,1,7.06
sandy,good,moderate,high,loose,high,red,0,0,1,2,0,2,5,6.19
clay-loam,poor,wet,low,loose,low,yellow/tan,4,2,2,0,0,0,1,6.27
clay-loam,good,dry,high,moderate,moderate,yellow/tan,4,0,0,2,1,1,1,6.12
sandy,poor,wet,moderate,loose,high,red,0,2,2,1,0,2,5,5.05
sandy-loam,moderate,wet,moderate,loose,high,black/dark,1,1,2,1,0,2,4,5.74
sandy,moderate,wet,high,compacted,moderate,dark brown,0,1,2,2,2,1,3,6.05
sandy,moderate,moderate,high,compacted,low,brown,0,1,1,2,2,0,2,5.97
sandy,poor,wet,high,compacted,low,pale/white,0,2,2,2,2,0,0,6.03
silty,moderate,dry,low,compacted,low,pale/white,3,1,0,0,2,0,0,6.63
sandy-loam,moderate,wet,high,loose,low,yellow/tan,1,1,2,2,0,0,1,5.6
silty,poor,wet,low,loose,high,dark brown,3,2,2,0,0,2,3,6.34
sandy-loam,good,dry,moderate,moderate,high,red,1,0,0,1,1,2,5,6.25
silty,good,moderate,moderate,loose,high,yellow/tan,3,0,1,1,0,2,1,7.13
sandy-loam,good,dry,moderate,loose,low,yellow/tan,1,0,0,1,0,0,1,6.15
sandy-loam,poor,dry,moderate,moderate,moderate,yellow/tan,1,2,0,1,1,1,1,5.95
sandy,moderate,wet,high,loose,high,yellow/tan,0,1,2,2,0,2,1,5.62
sandy-loam,good,wet,high,loose,low,dark brown,1,0,2,2,0,0,3,5.55
clay,good,wet,low,loose,moderate,brown,5,0,2,0,0,1,2,7.11
clay,moderate,moderate,low,loose,moderate,red,5,1,1,0,0,1,5,6.54
clay-loam,moderate,moderate,moderate,compacted,high,yellow/tan,4,1,1,1,2,2,1,6.59
clay-loam,poor,moderate,low,moderate,moderate,brown,4,2,1,0,1,1,2,6.52
loamy,poor,dry,high,moderate,high,red,2,2,0,2,1,2,5,5.77
silty,moderate,dry,low,compacted,high,red,3,1,0,0,2,2,5,6.9
loamy,moderate,dry,high,compacted,high,black/dark,2,1,0,2,2,2,4,5.98
loamy,good,moderate,moderate,loose,high,pale/white,2,0,1,1,0,2,0,7.03
sandy,good,moderate,high,loose,low,dark brown,0,0,1,2,0,0,3,5.63
sandy,good,dry,low,compacted,high,pale/white,0,0,0,0,2,2,0,6.61
silty,poor,moderate,low,loose,low,pale/white,3,2,1,0,0,0,0,7.3
loamy,moderate,dry,moderate,compacted,moderate,black/dark,2,1,0,1,2,1,4,6.41
silty,moderate,dry,high,moderate,low,brown,3,1,0,2,1,0,2,6.54
sandy,good,moderate,moderate,loose,high,black/dark,0,0,1,1,0,2,4,5.88
sandy,good,dry,low,loose,low,red,0,0,0,0,0,0,5,5.96
clay,moderate,moderate,low,moderate,high,brown,5,1,1,0,1,2,2,6.93
silty,poor,dry,moderate,moderate,low,black/dark,3,2,0,1,1,0,4,6.22
clay,poor,wet,high,compacted,high,brown,5,2,2,2,2,2,2,6.71
silty,moderate,moderate,moderate,moderate,high,pale/white,3,1,1,1,1,2,0,7.03
sandy,moderate,dry,low,moderate,moderate,dark brown,0,1,0,0,1,1,3,5.62
silty,good,dry,moderate,loose,high,black/dark,3,0,0,1,0,2,4,6.81
clay,poor,dry,low,compacted,high,black/dark,5,2,0,0,2,2,4,6.08
loamy,poor,moderate,moderate,compacted,low,yellow/tan,2,2,1,1,2,0,1,6.46
silty,moderate,moderate,high,moderate,moderate,yellow/tan,3,1,1,2,1,1,1,6.0
loamy,good,dry,low,moderate,high,red,2,0,0,0,1,2,5,5.69
sandy-loam,moderate,wet,moderate,moderate,moderate,brown,1,1,2,1,1,1,2,6.11
loamy,moderate,dry,low,loose,moderate,pale/white,2,1,0,0,0,1,0,6.79
loamy,good,moderate,moderate,compacted,moderate,dark brown,2,0,1,1,2,1,3,6.74
silty,poor,dry,low,compacted,moderate,yellow/tan,3,2,0,0,2,1,1,6.23
clay-loam,good,dry,high,loose,high,pale/white,4,0,0,2,0,2,0,6.37
sandy,poor,dry,low,moderate,low,pale/white,0,2,0,0,1,0,0,5.78
clay-loam,good,wet,low,moderate,high,yellow/tan,4,0,2,0,1,2,1,6.56
silty,good,wet,moderate,loose,high,brown,3,0,2,1,0,2,2,6.87
loamy,good,moderate,high,moderate,high,red,2,0,1,2,1,2,5,6.05
sandy-loam,moderate,moderate,high,loose,moderate,pale/white,1,1,1,2,0,1,0,6.22
loamy,good,moderate,low,moderate,moderate,black/dark,2,0,1,0,1,1,4,7.27
sandy,poor,moderate,moderate,loose,moderate,yellow/tan,0,2,1,1,0,1,1,5.53
